Date,hash_ate,transaction_count,s&p500,gold,13w_treasury,usd_index,Unnamed: 0,Open,High,Low,Close,Volume,Market Cap,SMA,EMA,RSI,VWAP,ATR,OBV,google_trends,forecast
2013-07-08,2,0,0,2,1,2,0,0,2,1,1,2,1,0,2,0,1,1,0,2,2
2013-07-15,0,1,1,0,2,2,2,2,2,1,2,0,2,2,1,0,2,0,2,2,1
2013-07-22,1,0,2,0,2,2,1,0,2,1,1,1,2,1,0,2,2,2,0,1,2
2013-07-29,1,1,1,0,0,1,2,2,2,1,2,0,0,0,0,0,2,1,2,1,0
2013-08-05,0,1,2,0,0,2,1,2,2,1,0,1,0,2,0,0,2,0,0,2,2
2013-08-12,1,1,2,0,2,1,2,0,2,1,2,0,0,1,0,2,2,2,2,1,0
2013-08-19,0,2,1,0,2,1,1,2,2,1,0,1,0,0,0,0,2,1,0,2,2
2013-08-26,1,0,2,0,2,1,2,0,2,1,2,0,0,2,0,2,2,0,2,2,0
2013-09-02,0,1,1,0,2,1,1,2,2,1,0,1,0,1,2,0,2,0,0,2,1
2013-09-09,1,2,2,0,2,2,2,0,2,1,1,0,2,0,1,2,2,0,2,2,2
2013-09-16,0,0,1,0,2,2,1,2,2,1,2,1,0,2,0,0,2,2,0,2,1
2013-09-23,1,1,2,0,2,2,2,0,2,1,1,0,2,1,2,2,2,1,2,1,2
2013-09-30,0,0,2,0,0,2,1,2,2,1,2,1,0,0,1,0,2,0,0,1,1
2013-10-07,1,1,1,0,0,1,2,0,2,1,1,0,2,2,1,2,2,0,2,2,2
2013-10-14,0,0,2,0,2,2,1,2,2,1,2,1,0,1,0,0,2,2,0,2,0
2013-10-21,1,1,1,0,0,2,2,0,2,1,0,0,0,0,0,0,2,1,2,1,2
2013-10-28,0,2,2,0,0,1,1,2,2,1,2,1,0,2,0,2,2,0,0,1,0
2013-11-04,1,0,1,0,0,1,2,0,2,1,0,0,0,1,0,0,2,2,2,2,2
2013-11-11,0,1,2,0,0,2,1,2,2,1,2,1,0,0,0,0,2,1,0,1,0
2013-11-25,1,1,1,0,2,2,2,0,2,1,0,0,0,2,0,2,2,0,2,1,2
2013-12-02,0,1,2,0,2,2,1,2,2,1,2,1,0,1,0,2,2,0,0,1,1
2013-12-09,1,2,2,0,1,2,2,0,2,1,1,0,2,0,2,0,2,0,2,2,0
2013-12-16,0,0,1,0,2,1,1,2,2,1,0,1,2,2,1,2,2,2,0,1,1
2013-12-23,1,1,1,0,1,2,2,0,2,1,1,0,2,0,1,0,2,1,2,2,2
2013-12-30,0,0,2,0,2,1,1,2,2,1,2,1,0,2,0,0,0,0,0,2,0
2014-01-06,1,1,1,0,2,2,2,2,2,1,0,0,0,1,0,0,0,2,1,1,1
2014-01-13,0,2,2,0,2,1,1,0,2,1,1,1,2,1,0,2,0,1,1,2,2
2014-01-20,1,0,1,0,1,2,2,2,2,1,2,1,0,0,2,0,0,0,0,2,1
2014-01-27,0,1,2,0,2,1,1,2,2,1,1,0,2,2,1,2,2,2,2,2,2
2014-02-03,1,0,1,0,1,2,2,1,2,1,2,1,0,0,1,0,2,1,0,2,1
2014-02-10,0,1,1,0,2,2,1,1,2,1,1,0,2,2,1,2,2,0,2,1,0
2014-02-17,1,0,2,0,0,1,2,1,2,1,0,1,2,1,1,0,2,0,0,2,1
2014-02-24,0,1,1,0,0,2,1,1,2,1,1,0,2,0,1,2,2,2,2,1,2
2014-03-03,1,2,1,0,0,2,2,0,2,1,2,2,0,2,1,0,2,1,0,2,1
2014-03-10,0,0,2,0,2,2,1,2,2,1,1,0,2,1,0,2,2,0,2,2,0
2014-03-17,1,1,1,0,1,1,2,1,2,1,0,1,2,0,2,2,2,2,0,2,1
2014-03-24,0,2,2,0,2,1,1,1,2,1,1,0,2,2,1,0,2,1,2,1,0
2014-03-31,1,0,1,0,2,1,2,1,2,1,0,0,2,1,1,2,2,0,0,2,1
2014-04-07,0,1,2,0,1,2,1,1,2,1,1,1,2,0,1,0,2,0,2,2,2
2014-04-14,1,2,1,0,2,1,2,0,2,1,2,0,0,2,1,0,2,0,0,2,0
2014-04-21,0,0,2,0,2,2,1,2,2,1,0,1,0,1,0,0,2,0,2,2,1
2014-04-28,1,1,1,0,0,2,2,0,2,1,1,0,2,0,2,2,2,2,0,2,0
2014-05-05,0,0,2,0,0,1,1,2,2,1,0,1,2,2,1,2,2,1,2,1,1
2014-05-12,1,1,2,0,2,1,2,2,2,1,1,0,0,1,1,0,2,0,0,2,2
2014-05-19,0,0,1,0,0,1,1,0,2,1,2,1,0,0,0,0,2,2,2,1,0
2014-05-26,1,1,2,0,0,2,2,2,2,1,0,0,0,2,0,0,2,1,0,1,2
2014-06-02,0,2,1,0,2,1,1,0,2,1,2,0,0,1,0,0,2,0,2,2,0
2014-06-09,1,0,2,0,1,1,2,2,2,1,0,1,2,0,2,2,0,2,0,1,1
2014-06-16,0,1,1,0,2,2,1,0,2,1,1,0,2,2,1,0,2,1,2,1,2
2014-06-23,1,0,2,0,1,2,2,2,2,1,2,1,0,0,1,2,2,0,0,2,0
2014-06-30,0,1,1,0,2,1,1,0,2,1,0,0,0,2,1,0,2,2,2,1,1
2014-07-07,1,0,2,0,1,2,2,2,2,1,1,1,2,1,0,2,2,1,0,2,0
2014-07-14,0,1,1,0,2,1,1,1,2,1,0,0,2,0,2,2,2,0,2,2,2
2014-07-21,1,2,1,0,1,1,2,1,2,1,2,1,0,2,1,0,2,2,0,2,1
2014-07-28,0,0,2,0,2,1,1,1,2,1,1,0,2,0,1,2,2,1,2,1,2
2014-08-04,1,1,1,0,0,1,2,0,2,1,2,1,0,2,1,0,2,0,0,2,0
2014-08-11,0,1,2,0,0,1,1,2,2,1,0,0,2,0,1,2,2,2,2,1,1
2014-08-18,1,2,1,0,2,1,2,0,2,1,1,2,2,2,1,2,2,1,0,2,2
2014-08-25,0,0,2,0,0,1,1,2,2,1,2,0,0,0,1,0,2,0,2,2,0
2014-09-01,1,1,1,0,0,1,2,0,2,1,0,2,2,2,1,2,2,2,0,1,1
2014-09-08,0,1,2,0,2,1,1,2,2,1,1,0,0,0,1,0,2,0,2,1,2
2014-09-15,1,1,1,0,2,1,2,1,2,1,2,1,0,2,1,0,2,2,0,2,1
2014-09-22,0,2,2,0,2,1,1,1,2,1,1,0,2,0,1,2,2,1,2,1,0
2014-09-29,2,0,0,0,1,1,2,1,2,1,0,2,2,2,1,0,2,0,0,2,1
2014-10-06,2,1,0,0,2,2,1,0,2,1,1,0,2,0,1,2,2,0,2,1,2
2014-10-13,2,2,0,0,1,2,2,2,2,1,2,1,0,2,1,0,2,0,0,1,1
2014-10-20,2,0,1,0,2,1,1,2,2,1,1,1,2,0,0,2,2,2,2,2,0
2014-10-27,2,1,2,0,2,1,2,1,2,1,0,0,2,2,2,0,2,1,0,1,1
2014-11-03,2,2,1,0,1,1,1,0,2,1,1,1,2,0,1,2,2,0,2,1,2
2014-11-10,2,0,2,0,2,2,2,2,2,1,2,0,0,2,0,0,2,2,0,1,0
2014-11-17,2,1,1,0,2,1,1,2,2,1,0,2,0,1,2,0,2,1,2,2,1
2014-11-24,2,0,2,0,0,1,2,0,2,1,1,0,2,0,1,2,2,0,0,2,2
2014-12-01,2,1,1,0,0,1,1,2,2,1,2,1,0,2,0,0,2,2,2,2,1
2014-12-08,2,2,2,0,0,2,2,1,2,1,1,0,2,0,2,2,2,0,0,1,0
2014-12-15,2,0,1,0,0,1,1,1,2,1,0,1,2,2,1,2,2,2,2,1,1
2014-12-22,2,1,1,0,2,1,2,1,2,1,1,0,2,0,1,0,2,1,0,2,0
2014-12-29,2,0,2,0,1,1,1,1,2,1,0,1,2,2,1,2,2,0,2,2,1
2015-01-05,2,1,1,0,2,1,2,0,2,1,1,0,2,0,1,2,2,2,0,1,0
2015-01-12,2,1,2,0,1,1,1,2,2,1,0,1,2,2,1,0,2,1,2,1,1
2015-01-19,2,1,1,0,2,1,2,0,2,1,1,0,2,0,1,0,2,0,0,2,2
2015-01-26,2,2,2,0,2,2,1,2,2,1,2,2,0,2,0,0,2,0,2,2,0
2015-02-02,2,0,1,0,1,2,2,1,2,1,0,0,2,0,2,2,2,2,0,2,1
2015-02-09,2,1,2,0,2,2,1,0,2,1,1,1,2,2,1,2,2,1,2,1,2
2015-02-16,2,2,1,0,1,1,2,2,2,1,2,0,0,1,0,0,2,0,0,1,0
2015-02-23,2,0,2,0,2,1,1,0,2,1,0,1,0,0,0,0,2,2,2,2,2
2015-03-02,2,1,1,0,2,1,2,2,2,1,2,0,0,2,0,0,2,1,0,1,0
2015-03-09,2,2,2,0,1,1,1,0,2,1,0,2,0,1,0,0,2,0,2,1,2
2015-03-16,2,0,1,0,2,2,2,2,2,1,2,0,0,0,2,2,2,2,0,1,0
2015-03-23,2,1,2,0,1,2,1,1,2,1,0,2,2,2,1,0,2,1,2,2,1
2015-03-30,2,0,1,0,2,2,2,0,2,1,1,0,2,0,1,2,2,0,0,2,2
2015-04-06,2,1,1,0,1,1,1,2,2,1,2,1,0,2,1,0,2,2,2,1,1
2015-04-13,2,2,2,0,2,2,2,1,2,1,1,0,2,1,1,2,2,0,0,2,2
2015-04-20,2,0,1,0,1,2,1,1,2,1,2,1,0,0,1,0,2,2,2,1,0
2015-04-27,2,1,2,0,2,2,2,0,2,1,0,0,0,2,1,0,2,1,0,2,2
2015-05-04,2,0,1,0,2,2,1,2,2,1,2,1,0,1,0,0,2,0,2,2,0
2015-05-11,2,1,2,0,1,2,2,1,2,1,0,1,0,1,2,0,2,2,0,1,1
2015-05-18,2,2,1,0,2,1,1,0,2,1,1,0,2,0,1,2,2,0,2,2,2
2015-05-25,2,0,2,0,2,1,2,2,2,1,2,1,0,2,0,0,2,2,0,1,1
2015-06-01,2,1,2,0,1,2,1,1,2,1,1,0,2,0,2,2,2,1,2,2,2
2015-06-08,2,0,1,0,2,2,2,0,2,1,2,1,0,2,1,0,2,0,0,2,0
2015-06-15,2,1,1,0,2,2,1,2,2,1,0,0,0,1,0,0,2,2,2,1,2
2015-06-22,2,2,2,0,1,1,2,0,2,1,2,1,0,0,0,0,2,1,0,2,0
2015-06-29,2,0,1,0,2,1,1,2,2,1,0,0,0,2,0,0,2,0,2,1,2
2015-07-06,2,1,2,0,0,1,2,0,2,1,2,2,0,1,0,0,2,0,0,1,0
2015-07-13,2,1,1,0,0,1,1,2,2,1,0,0,0,0,0,2,2,0,2,2,1
2015-07-20,2,2,2,0,0,2,2,0,2,1,1,1,2,2,0,2,2,2,0,2,2
2015-07-27,2,0,1,0,0,1,1,2,2,1,2,0,0,1,0,0,2,1,2,1,0
2015-08-03,2,1,2,0,2,1,2,1,2,1,0,1,2,0,2,2,2,0,0,2,1
2015-08-10,2,2,1,0,1,2,1,1,2,1,1,0,2,2,1,2,2,0,2,2,0
2015-08-17,2,0,2,0,2,2,2,1,2,1,0,2,2,1,1,0,2,2,0,2,1
2015-08-24,2,1,1,0,1,1,1,0,2,1,1,0,2,0,1,2,2,1,2,1,2
2015-08-31,2,1,2,0,2,1,2,2,2,1,2,1,0,2,1,0,2,0,0,2,0
2015-09-07,2,1,1,0,2,2,1,2,2,1,0,0,0,1,0,0,2,2,2,1,1
2015-09-14,2,1,2,0,2,2,2,0,2,1,1,1,2,0,2,2,2,1,0,2,0
2015-09-21,2,2,2,0,1,1,1,2,2,1,0,0,2,2,1,2,2,0,2,1,2
2015-09-28,2,0,1,0,2,2,2,2,2,1,2,2,0,1,0,0,2,2,0,2,0
2015-10-05,2,1,2,0,2,2,1,0,2,1,0,0,0,0,0,0,2,0,2,2,2
2015-10-12,2,0,1,0,1,2,2,2,2,1,2,1,0,2,0,0,2,2,0,1,0
2015-10-19,2,1,2,0,2,1,1,0,2,1,0,0,0,1,0,0,2,1,2,2,2
2015-10-26,2,0,1,0,0,2,2,2,2,1,2,2,0,0,0,0,2,0,0,1,0
2015-11-02,2,1,1,0,0,1,1,0,2,1,0,0,0,2,0,0,2,0,1,1,2
2015-11-09,2,1,2,0,0,2,2,2,2,1,2,1,0,1,2,2,2,0,1,2,0
2015-11-16,0,2,1,0,2,1,1,0,2,1,0,0,2,0,1,0,2,0,0,2,1
2015-11-23,1,0,2,0,0,1,2,2,2,1,1,1,2,2,1,2,2,2,2,2,2
2015-11-30,0,1,1,0,0,2,1,0,2,1,2,0,0,1,0,0,2,1,1,2,0
2015-12-07,1,1,2,0,0,2,2,2,2,1,0,1,0,0,0,0,2,0,1,1,2
2015-12-14,0,1,2,0,2,1,1,0,2,1,2,0,0,2,0,0,0,0,1,2,0
2015-12-21,1,1,1,0,1,2,2,2,2,1,0,1,2,1,2,2,0,0,0,2,1
2015-12-28,0,2,2,0,2,1,1,0,2,1,1,0,2,0,1,2,0,2,2,2,2
2016-01-04,1,0,1,0,0,2,2,2,2,1,2,1,0,2,1,0,0,0,1,2,0
2016-01-11,0,1,2,0,0,1,1,2,2,1,0,0,0,0,0,0,0,2,1,1,1
2016-01-18,1,1,1,0,0,1,2,0,2,1,1,2,2,2,2,2,2,1,0,1,2
2016-01-25,0,1,1,0,0,1,1,2,2,1,2,0,0,1,1,0,2,0,2,2,1
2016-02-01,1,1,2,0,2,2,2,0,2,1,1,1,2,0,1,2,2,2,0,2,2
2016-02-08,0,2,2,0,2,2,1,2,2,1,2,0,0,2,1,0,2,0,2,1,0
2016-02-15,1,0,1,0,0,1,2,0,2,1,0,2,0,1,0,0,2,2,1,1,2
2016-02-22,0,1,2,0,0,1,1,2,2,1,2,0,0,1,0,0,0,1,1,2,0
2016-02-29,1,1,1,0,2,2,2,1,2,1,0,1,0,0,2,2,0,0,1,2,1
2016-03-07,1,2,2,0,1,2,1,0,2,1,1,0,2,2,1,2,0,2,2,2,2
