date,forecast,close
2022-05-16,0,1
2022-05-23,1,0
2022-05-30,0,1
2022-06-06,1,0
2022-06-13,2,2
2022-06-20,2,2
2022-06-27,2,2
2022-07-04,2,2
2022-07-11,2,2
2022-07-18,2,2
2022-07-25,2,2
2022-08-01,2,2
2022-08-08,2,2
2022-08-15,2,2
2022-08-22,2,2
2022-08-29,2,2
2022-09-05,2,2
2022-09-12,2,2
2022-09-19,2,2
2022-09-26,2,2
2022-10-03,2,2
2022-10-10,2,2
2022-10-17,2,2
2022-10-24,2,2
2022-10-31,2,2
2022-11-07,2,2
2022-11-14,2,2
2022-11-21,2,2
2022-11-28,2,2
2022-12-05,2,2
2022-12-12,2,2
2022-12-19,2,2
2022-12-26,2,2
2023-01-02,2,2
2023-01-09,2,2
2023-01-16,2,2
2023-01-23,2,2
2023-01-30,2,2
2023-02-06,2,2
2023-02-13,2,2
2023-02-20,2,2
2023-02-27,2,2
2023-03-06,2,2
2023-03-13,2,2
2023-03-20,2,2
2023-03-27,2,2
2023-04-03,2,2
2023-04-10,2,2
